,0,1,2,3
0,974612296,1103647192,1597680097,2106333727
1,2262449938,885477859,3460791411,2362806266
2,1750647795,2878500741,2997778289,4219521439
3,3565463415,2837548810,3441519340,3977735210
4,3976034092,1648535026,4119962425,1992602021
5,544714389,2278202329,2058541168,4113680214
6,728039129,2100027604,4213824138,1141862883
7,2484349618,4111322612,3735462336,3425627212
8,3092168293,1794656488,269170729,2577974348
9,710171611,461851495,4065420671,2162710949
10,2908024006,274294114,1291542745,3586651951
11,1927308170,827720348,2993483836,2975577265
12,224774261,4058020803,3729447109,3287772784
13,4075700476,2793069744,460237134,3962266101
14,2758741601,3805633996,2704925339,2552041587
15,2009295836,2442163375,606229031,3452860935
16,46951524,948741716,2912065705,732279591
17,478870058,2546457375,1079183125,1211480511
18,43583133,3318580093,4277385193,3505885625
19,1875483897,343584549,3100506826,1995169416
20,1557126872,2929330281,3981968564,1379926122
21,1839233954,3477910953,3583423934,4182243955
22,800992837,2636176629,2220795665,1711963668
23,1042104395,1076008023,1462116771,4294623050
24,1399398129,217013989,3394420649,1374311385
25,3102203456,3029193094,1771398132,990432447
26,3215730393,1233830849,3513559677,1774550608
27,252922122,24353772,1225353643,674378953
28,2798143757,782918563,3174680431,3075097236
29,2710586605,2046816337,1460191936,2265790534
30,3635350788,3422848114,106368044,2807085854
31,2267212631,4208934982,2889723723,374223318
32,2530879095,1797937879,153119745,3392601341
33,191888086,2943002518,1174252715,2094952003
34,3880268450,1732163241,579615531,1090708107
35,204053020,1712647199,1541048766,2454540091
36,271484572,2204070871,3542333356,2083298673
37,1508788933,4117653524,791964143,1204026611
38,2112763293,3710909324,2619301704,901249566
39,3067993958,3092589831,1502125840,3033845392
40,3189392985,3640788166,1674686255,1891383161
41,1331808272,215340012,1488608085,1791504311
42,3046745640,3104216089,3501204338,4193210782
43,1606224014,1351572317,3402487356,1912145353
44,4050328743,1276908882,2936961545,2228020070
45,1434670038,1070624443,420357759,1069709984
46,2181264222,3498311158,1331634900,2481353321
47,2594058346,1552381237,3523955633,411710366
48,1300513087,2821924468,3820099070,1842307011
49,2671417850,1117365739,3391499516,3547298773
50,2892897614,2923445067,902168360,688896643
51,3048187697,3782705488,3835991486,2700265326
52,1041505471,304491554,2659914355,3438659289
53,3072274411,1351377018,67631970,2645722135
54,1844967754,576988633,3830746332,1700547801
55,3089729895,3090358576,1145990026,3844829697
56,528312615,844019903,2579998098,3097788250
57,3453522781,2564220457,3660888500,878356515
58,1677816288,78564455,1604823756,493826744
59,865267017,4041833156,2199954515,2738721794
60,1523044209,1998276785,694696097,536484857
61,4239341441,1327899382,1791168338,928135171
62,3810483737,2929519198,3422395428,3264705979
63,2553479416,2641255530,273026091,2498422001
64,2216515014,2654674750,227127163,1269919714
65,3661480933,1045913908,2220798513,2338378318
