,0,1,2,3,4
0,782489351,921816060,494079064,3762966853,2579511586
1,1930347261,1322267174,3999940870,3535107549,937178309
2,2948113050,1366020518,28896350,1416071595,2934504146
3,169180216,515993225,1999812534,4265423439,982331696
4,2861625863,3081025492,903915927,2339475492,1994110320
5,469121697,2122005558,1985515707,1308776468,3840591160
6,4016581999,2655410666,215565621,68750750,655845384
7,3255349896,431557304,892060164,3190928091,2292679396
8,3828203231,1070913421,186765135,980642858,1978780508
9,1846612444,1635170517,2285275838,3247751995,247968795
10,3405333427,4102899635,4164059526,4197627671,2013185486
11,3669138638,3340629766,1852698560,4066143324,3436224924
12,1528867682,823859143,3526775043,3260500711,1457862246
13,2994491024,3870745235,2937419853,4033146304,1517591140
14,4014724869,3518172477,4072666935,875396828,3019642365
15,280169201,3136152087,3886254092,350268737,909105947
16,104378985,1904659700,79939233,1898602467,3740170619
17,4292458717,3076076496,3325670306,1526887062,2667980770
18,2741922696,1055497169,1668309005,3038081555,4160778685
19,3978644342,4006486236,1226584799,3340162079,2547330675
20,542999875,3268497995,1879259382,2536795953,953652570
21,2300900871,3249986887,2882943328,3528960838,2495360643
22,3513780527,1642086458,3078145430,2227010217,3349783671
23,2794276997,3544411937,2853090986,1491667071,1862023583
24,1078973115,3949971092,3892994594,2923997175,706505025
25,2673438540,470280873,1454188055,2418284438,2510561207
26,4107951357,2059002116,1912562149,334024601,3533211060
27,1784130256,1263021873,497886688,3809830786,1478553293
28,3410660814,3723127393,705489242,3891267222,3820693777
29,194738979,4061005919,1889109416,436532778,2891656494
30,2319323357,2863190462,3735649372,3807786590,2086364637
31,1734030830,1840718385,3247343165,1614259232,716806431
32,3456358492,1645385309,3681520980,3280168241,1097681420
33,3314028206,3926105871,2883436212,1246076542,3788927639
34,716356898,3411504464,4278243372,3128494907,420548297
35,3339004422,2817564342,3256562776,752829508,3094110253
36,1251905370,4039134404,2112595900,4192280138,3518067434
37,2103269863,2225691852,3009623379,233701470,1080310542
38,4022549442,2552647637,2860145751,1618774435,1244054990
39,2573482517,4051624602,1243466829,2334830885,4157427431
40,3292918846,4220969424,1886805195,1031132766,2182596266
41,3188034453,1410893878,122562339,2652535100,3554810043
42,2208994550,1210758564,2644604617,3157473201,614574602
43,2289432036,576394446,3025679865,1658972750,2297686905
44,897399539,162548877,1491936069,1819083861,1410769967
45,237783728,3673662674,2911538867,4283613396,519069400
46,1540640873,2251385432,2529615845,1864911644,1631597988
47,1130876805,721198152,2958665750,154636976,1285406660
48,229587003,1843405766,1688773990,2305415127,3909058082
49,3579468458,3019962172,1912404341,3538054115,160579007
50,37021557,2468057804,1346019,1526058239,3756320688
51,2430661637,838555961,3298341872,1556455646,1347555522
52,4140649356,69122122,3405850186,282871022,4234100976
53,1394250447,3405476924,739748500,184372837,1396372927
54,801282344,1668740139,1552144548,3536904985,2032107284
55,2836550718,3060295359,1761579134,2318537470,643643941
56,1254149305,1875213538,995679195,1445025463,2209831701
57,3409060296,3005894762,2174567395,2725952539,4059732755
58,64344467,2101986802,1627601113,3411518480,3736817465
59,11769918,1022914247,3764028880,3725593959,4002201012
60,1549722151,2323522449,4169797193,805724601,2128874622
61,2335264205,3527306144,1947784035,3165181745,863994798
62,3741943304,3327791338,2318042345,2375004592,713243365
63,2475197603,2150278163,3306681938,3031512332,1048779620
64,4069368732,509786110,3220924530,1825663134,1049045089
65,1011626840,1335268224,757869754,2864138169,293953926
66,3733097379,1943293276,1357142731,1124449393,477726985
67,1521427808,3909402091,1661972453,1708432543,1235782380
68,1498732508,1079930530,676849920,1543659090,1320153613
69,1567770656,833426705,3439593124,3697412743,1097099005
70,722806992,1841096051,1031140550,3213392503,2412864825
71,3189030294,2565665653,4018387161,2460044294,2485844919
72,2565282035,3764691207,3263312242,994058856,1048604272
73,480301168,1777096773,2854919603,2910028707,3684228649
74,2039153684,3346938710,1785423641,2632039376,2282325595
75,2586470261,1337266966,2470983302,812457510,1906480428
76,2979272352,2370886936,1475391057,2183997789,698481072
77,2077841033,1628650085,2912848056,753267226,1693747578
78,1852705975,2571876807,1225627999,1441881033,3999406625
79,3694810161,3457192544,1488073317,1669482644,2999642041
80,3898740264,3562501960,95993326,3410114370,173362772
81,1677725559,944017944,646461435,1111159650,2395081969
82,3417854799,2668644231,3536634146,828263074,2298020843
83,835371377,476030669,202114916,600952662,826511892
84,1873213891,1322535108,1236320305,3832520677,1774864715
85,3846876648,1484864855,711271498,1062807449,3873319478
86,1881234050,3887401801,4217967865,362256139,43446610
87,2183758568,2071454875,648434385,1089085873,541056464
88,3258211320,3686044557,362528276,824094177,1261660879
89,4095710598,2166964204,3727954060,596879631,1742212552
90,2609388656,162529441,3772146519,273849320,110519514
91,1821352699,1577831183,689774007,354488435,3669069403
92,2269774500,194362448,2616668672,3019067575,910087587
93,2517504364,1104964147,1216234771,2040123372,3497195230
94,2155395322,1229871154,116916876,3185175017,3225043119
95,3790232363,3235983224,829654722,1740883936,631648778
96,3759640583,2647662597,3113539535,172789421,2064414039
97,1488698016,1970664010,3706639325,582468125,2455540675
98,789832211,2439619755,2140188404,1914161065,2960730768
99,884522308,4263977694,516808653,1818646315,3411365393
100,2157712646,1043733244,4289488183,3032991258,1129502829
101,2020550943,2709027007,3215296995,3857798893,2230694548
102,47472413,2027666025,1364541823,3580020140,2362188743
103,1709929400,981412439,1889804602,2480733556,1661814443
104,53520725,1311354285,998475196,4192471322,2362903713
105,144656443,1974526435,2809074930,1014664080,3892697885
106,3668043819,667994050,3664802177,1249328144,512721174
107,2843925120,2471203092,4116461825,1976832748,3578009672
108,2824822234,3780162700,1093391025,1184300862,2544123140
109,3342474538,4005633260,1425715312,2348509275,3593322297
110,902676958,2675299687,2532512299,1620163762,152770884
111,3307729069,4271974856,981146193,1280283561,2085619251
112,204967107,3966299449,1866602489,1434126615,2534234409
113,3401080252,2261144870,1618900849,1897710759,1236479871
114,1505648962,855239078,1712920032,1588205034,2217049358
115,2945528803,419634655,3180404376,2515772552,36849094
116,4200839759,1241386905,2798359896,3132124151,1408070409
117,3670983432,2591636787,3993914313,2064195487,1433609886
118,1519812193,96086591,3149624507,3440677406,3906172061
119,1330511486,3478279403,2290873183,3451292781,561322974
120,2781152561,1748862422,4141994695,12092033,1114692887
121,3223953291,1941757925,1572475398,3233095798,3365798394
122,820346914,4164468627,2506784023,2394338634,2315908979
123,2207283653,3963172697,2346354271,317230526,2636069080
124,1142952938,1369702366,2495997663,587570171,2976198265
125,414225114,498554948,499411048,1119413541,2293033698
126,2555375238,3726346239,3349706628,3190325104,3048246475
127,658982252,1488457471,2305009156,3954327032,2402671561
128,2965304878,2313024834,2826299742,1994001844,1424060673
129,3237964131,4092020673,1838139875,312497399,1530215748
130,3588712728,2909550760,2597178504,361233733,1477963362
131,3212674129,820821494,3340474090,1171350101,2865410938
132,1265034201,3036243874,2465941498,3471026781,2993817560
133,448677230,2783142012,3328404660,2619721228,2914574424
134,1465661857,3682886349,464264511,2371675447,3999040990
135,1699776506,3533239772,1514584338,3650923602,3426786130
136,1627408721,425692868,201316979,1271527466,2058162578
137,3998001318,4182517533,885669666,1491253322,2781137114
138,3100528373,3431400168,4063908445,598642948,3308359336
139,557864982,756098477,1707400596,1697059919,873600041
140,3288761125,1693177006,3286649257,2981901084,204334239
141,2845935289,4169362647,3948237054,2470742261,2004052725
142,679038518,1079532585,4001327753,151959613,2564960299
143,3258044948,1310100403,2310239340,3274305709,162730562
144,3023705895,2410280512,3786848525,3525753460,2488239259
145,2047158273,2313176770,529748987,618489825,1578804742
146,3189661039,3333907005,3272239888,2214708945,2148514472
147,947848618,1724401240,3523601575,315382271,1195554114
148,64984663,53766930,1896528601,2396573226,3127839014
149,2329152111,395178416,3418361411,1803350396,503452168
150,1410335728,2091412657,3610924861,45238607,4101609314
151,2247404279,4127986855,1569314280,2168588036,2562598659
152,1590274234,2504424839,3089000076,3426851928,1207470764
153,2160986630,2465615505,610773995,3216612317,2416843999
154,3397480828,385772999,2013554864,3961131507,3288758668
155,2411770158,1841073772,2602190798,844522547,2067281342
156,3333675925,3032203642,1618435169,1059559751,728471664
157,2285059761,3039152838,408011896,4271343456,596285388
158,502129107,962899204,2586214691,1389989679,1936629047
159,3902270515,1111040838,998386050,3582974225,4162776077
160,2630698965,101929907,4126150624,3142906813,333197425
161,340442188,2551261854,743299150,3765742243,2213829476
162,2246813732,1619728130,3191111476,130761615,3317301450
163,1092349814,2170041930,4210268498,1376461045,1536635538
164,3847243754,1452231485,2703354918,3406945964,3286754142
165,2858451059,2738512453,12067824,4229068759,3277064315
166,2158726653,2308697136,3331681676,1036817271,1055516108
167,3931490910,985622821,1289553469,4169784650,449430739
168,452560366,3913034565,1423248575,2562644142,4272386425
169,3024402019,3596809248,2193830471,2784725653,1632054088
170,1162642625,1635657215,1054076656,3799540217,838054799
171,3378819064,1271534233,1934060279,2450992722,3842833631
172,2327012639,4021178226,802970802,108922287,3480965908
173,592614831,1208452298,1145326686,4013978450,2597671073
174,1523311100,1807872237,1246746027,1751563156,3991548543
175,3975763474,4164282405,1882527752,574184995,1794190308
176,1426148550,2896921651,1504283151,3351713507,3836720097
177,3384688322,1013934,2277127901,2689848453,560916702
178,593757620,351627741,3205543348,3214809999,1568724222
179,401564220,3411938878,612906100,1665972747,3741627790
180,3708211464,2843840656,2600619319,256202918,1189636464
181,555325877,1753918326,1198883120,3729258368,3720411564
182,515500285,3582370835,587772161,725645284,3824884471
183,4090431117,1903293084,2734367930,4088336610,636345949
184,1221030388,3318505071,1844246719,2417355069,1823296384
185,1680204211,95896220,1787438572,410590282,3711567945
186,2526241957,203406430,4097310573,3703576811,3244475012
187,2889759123,3933245468,1094068302,1899750744,290055745
188,653779137,959400193,2103350244,3593408482,3976001989
189,2943691132,1119080919,2690524311,3125411988,3008561551
190,932498592,85755404,297195998,1767047215,1758919671
191,777956337,1737380411,466240408,3674778743,4283406877
192,2590987097,1555412979,3387970570,2163051036,781576601
193,692241366,671747056,2010564431,3339856037,4195196268
194,2575009904,2092000158,4149151579,4085623217,482251995
195,1285046664,3824370430,878607500,1481235721,229281783
196,2857901024,4081191803,2984841383,1192378956,3705470130
197,1684053868,1941959382,1496987879,640315120,3022691415
198,3397353282,1435387790,298753704,1566783622,1081260010
199,1937135343,2902143199,4046343346,2954246466,3350387680
200,19719133,204337112,539318844,1573018392,2676566220
201,833450075,1113180813,234402274,2038939267,620306779
202,489526762,4024756299,1631091984,168063697,3011208248
203,3315719274,1548034597,4192686340,3592626115,1973438073
204,2240237013,2621084632,1837571451,3525035039,1596236997
205,239702432,1061927825,2178283187,2161742259,2222434444
206,2919685509,702538574,472255742,1442668917,1293555123
207,143752027,3195125622,2602942324,3776177260,1355276517
208,4127428935,3792863857,3256422804,3899872661,3439857693
209,1365354760,4018008407,875640430,570306620,675161626
210,3628423632,1955577386,104347564,3772064818,2495898612
211,2791508435,2172045380,1647677537,1223628252,2044047103
212,2878738964,1307276352,1352620995,1873425562,36118323
213,3913125207,3305119547,615126715,3073260936,1664280341
214,606294272,2628706766,2826068920,1154541893,1597642015
215,2034419850,2037304053,3361029553,2762456165,2883252733
216,3042268803,1722324301,1240242984,1077250324,303920626
217,735461973,2225127192,4169714126,4131932860,3475589293
218,1011332334,677918684,2544101746,2109155741,385781961
219,3840928233,1811636012,2959534919,4223176987,2503294421
220,2359277356,1538651360,1593319395,3192125552,2194234191
221,1471239956,4239934953,11012454,439180885,3018061727
222,2020700925,4050812878,3442140164,1321607038,999624871
223,2008546804,1464435848,2015998368,163655205,3906231086
224,4254071476,1802367964,1525754704,2660744405,714118211
225,330677851,3558539093,3896095835,2460520849,1796838472
226,1493147341,2402199689,3187468881,3797228380,3940896187
227,2820857157,3791434713,2548758483,3389977433,4237239428
