,0,1,2,3
0,488984803,3751303768,375950788,4150436517
1,3536161716,2376704899,3323423718,3368449781
2,214502114,234580347,2729966359,146880687
3,1118394364,1384503451,2561713637,793597394
4,711288822,1870924665,2309546027,1619864508
5,1140527566,2878992096,539693719,1317434226
6,1993935768,903313122,650707632,2208033139
7,987982343,3741799900,1549675380,359376071
8,3360782784,3619093495,600930944,3575215118
9,3193397728,3472950100,2560900446,3435367355
10,3925581020,1647744693,2555072897,4242407386
11,3940358310,2691017221,3209799397,2684660238
12,1324159275,1633262004,2885293327,1494081457
13,372891312,3687752608,3961754126,3991920452
14,418507521,1585689266,3463034688,915080899
15,2557371683,3527278512,2059224978,3777573831
16,3640382330,2820982953,1725748125,1889096572
17,2551343647,1744404201,2358233772,2921765618
18,2962598327,2610881622,3721321337,1538209748
19,3098216794,1078916969,3097495843,4102493060
20,3627451839,2418338487,3923901469,498347453
21,3421590852,3073140727,1828201407,127154254
22,1920270043,3862242523,271012723,103276923
23,4078643380,3595944428,1928430627,2045917394
24,838766056,3511730667,4087877029,3917605086
25,3830825889,127891516,4181720917,1477745911
26,2779199375,1717719295,3974403967,952393571
27,3570978916,3113009052,2724243556,3689263934
28,3042894813,2939243681,2106959527,2160972914
29,2520823068,2023443286,2682129141,3858254860
30,3600062520,1611238846,2179937758,4001273058
31,4149137357,1866664956,1299531345,3363769365
32,1973285852,4258780877,1313574887,1270352267
33,2214864426,1923452962,3793556171,3304575993
34,3686589011,3297010774,1668095923,4238364685
35,1726309702,2196919512,104114221,2598291957
36,3844898222,2422311208,4238977685,359768712
37,178441157,1766569365,3355978824,147378398
38,567395304,2924285298,903410065,199426026
39,3343184488,3369171398,2035457232,290670848
40,647470048,985883927,74110531,3648523693
41,2360209590,2904541670,2752705614,1530959565
42,468946890,3623662072,1922235704,1273764130
43,452472822,248526062,2315923085,3960598667
44,1350645938,2973835798,3247813828,443943760
45,4090629624,1537009538,2662296366,3560166436
46,2992480330,1222477066,3167842328,2069011116
47,743277419,2921288636,3563354635,574729730
48,3177973921,3578001454,3747780830,3203592848
49,920449173,4043661789,2605787780,3265424247
50,2267719830,1965932541,2986160831,1980027601
51,1782550734,429010302,1933215215,2994497464
52,3942591021,3211505716,2517491322,982896028
53,2052047473,3764584227,2330208786,814271425
54,3765442392,3908806886,2969788258,347031413
55,3640955477,1704833397,3130890572,721345741
56,3919039718,1716610079,3454459363,2710788979
57,575231924,3325060603,1441603375,1710828928
58,1808515657,7637646,38093080,2420680310
59,1581823012,3626806578,2055899407,2753261687
60,528166284,2529896773,2444854626,4243621725
61,1781379080,1973284422,982560335,3330634988
62,850483022,523120559,3483744431,1547318176
63,3593990594,3403639171,1785122675,2138534141
64,1861026928,2614532221,32112311,3864168139
65,4129887135,992952094,2408263010,1683270667
66,2062909454,1992070695,3926202721,2970190374
67,3629489789,96953439,2432769769,2171061097
68,2253995994,3035132260,1325362337,358766112
69,102569689,1026050101,2997923895,3617518623
70,3855558909,501085947,69960440,2809623958
71,1076662340,2107552333,90989440,3807751859
72,1677427176,379323155,3832058700,2449839530
73,640034263,258765683,878655826,142988622
74,1206855411,3796814612,1742592481,1576992114
75,235670284,2876321173,2135363135,3871323191
76,4203191570,3808776490,3378006018,1208526131
77,2806558510,859552490,725249279,2025324376
78,2534789983,901091060,2225352445,1917821687
79,4195869644,1183226142,2285746019,411579110
80,3457374006,3280984772,3692290930,777697934
81,3407169962,3727203987,3284167767,2106424559
82,2255113876,1290655570,2139399429,2488294539
83,2332366898,4087351472,3628614964,2563446680
84,1627833545,1820382551,2087218439,2519859459
85,3478850747,933052199,2471706001,1563826477
86,357363281,868065399,3488772096,2101475673
87,2136147463,926679139,4039141589,477837583
88,70290216,692096556,796910660,3925883353
89,538121230,1244737972,1376416929,1727774176
90,1284500100,2934949945,3307138984,915875134
91,2509598200,3821482388,413434630,941848208
92,2353242458,4034911320,3688501059,134869215
93,855230266,2770306363,3294637891,923179050
94,4202712995,4118694695,2685821163,3326675054
95,1974686859,956833834,3264377243,1064071946
96,128200760,597552241,65931498,3550874942
97,997167164,1798046081,2145088296,576653936
98,1139495293,726342138,4002606717,2935071179
99,3588994270,4020983871,149783192,3597746174
