,0,1,2
0,2509864920,3282414798,3274412252
1,2720120424,277486830,3661597797
2,717259893,3504626878,3384805541
3,3508802548,779771267,386798376
4,278534502,1326195877,3627478105
5,1636681282,1097699658,3854327210
6,2602089425,4210678435,771556242
7,1844006807,4067996731,3128978294
8,1382977005,801096343,578235215
9,200903831,2559979199,3127889173
10,1277460255,3338101097,955892836
11,1767811018,3383814902,3734710582
12,1634503181,1937338076,2209436058
13,1795279021,652803760,1806790071
14,382340850,1494914111,1225592409
15,2761204843,974218816,1851611504
16,3867756003,4153413899,3951949942
17,3262309559,4010644404,1673580009
18,295747351,2130635068,4282511546
19,1941305852,2233436802,123600388
20,1749438312,466939930,171536488
21,1029759223,3606658120,607149842
22,2904242707,2458733449,3137365706
23,3339003483,1004007923,4242785666
24,2308244336,2812678395,529852730
25,3922468281,1016800338,3785134586
26,4173591188,3231830072,2262399720
27,344339372,2481369566,637856229
28,4150648837,639700304,3449661974
29,1447798588,1472481089,2149966454
30,430164552,2253706739,4197510056
31,391081083,2426868588,985533150
32,2074083365,3456818623,674080390
33,1248508731,1552285286,3238034836
34,3509221590,2130257780,1404899506
35,3993560846,10483087,923586172
36,2039752119,1597160280,1137612694
37,2699946543,3499733104,686125872
38,2047085282,2598585973,2561283132
39,2356140014,2600999635,2949448139
40,1893232830,1477682521,2752997563
41,667678677,2303743130,1779521747
42,2165608497,1460314047,4097989044
43,1430333752,1512439346,2453796816
44,903283609,2328215891,329505743
45,748943361,2294791480,1771500002
46,1048882496,3568910322,1671105628
47,2759370955,538475159,1754514573
48,861757046,2093238601,1290652493
49,3885487545,1051806029,2585621573
50,1011363163,1958053882,2165893619
51,783413382,3173528117,959502612
52,3977754899,3045862027,2476120427
53,1039901094,3713352614,770124356
54,703851024,3283541163,3051958020
55,161346690,1667115263,4022916268
56,1399059798,779612138,3287146342
57,488486982,1099141807,1228034422
58,4166446896,3076164640,797466411
59,424666757,1963054289,2887349110
60,4228840273,4222624643,3092634273
61,1154600167,485774034,3968831957
62,3511527346,188254489,3879932290
63,2443926208,3125112338,4147038228
64,3893251374,445300813,695784989
65,3077899204,3217766375,2402741381
66,1532165723,486490802,1682148553
67,226607179,4003098610,2973990394
68,2296990880,3978228317,1144001723
69,411735329,2542887679,86226360
70,1581350428,282043441,3886687619
71,1992341562,3276526898,224997625
72,3330261589,3579682893,2314137548
73,17448642,2488982659,2907866819
